scenario_id,family,expected_outcome,passed_runs,consistency,empty_passed,relevant_passed,misleading_passed,average_tool_calls,average_graph_steps,average_latency_ms,total_tokens,violation_codes
S1-E01,S1,RESOLVED,3,3/3,True,True,True,17.667,13.333,1721.0,6778,
S1-E02,S1,RESOLVED,3,3/3,True,True,True,17.667,13.333,1470.333,6787,
S1-E03,S1,RESOLVED,3,3/3,True,True,True,17.667,13.333,1442.0,6778,
S1-E04,S1,RESOLVED,3,3/3,True,True,True,17.667,13.333,1427.333,6780,
S1-E05,S1,RESOLVED,3,3/3,True,True,True,17.667,13.333,1460.333,6780,
S1-E06,S1,RESOLVED,3,3/3,True,True,True,17.667,13.333,1510.333,6787,
S1-E07,S1,RESOLVED,3,3/3,True,True,True,17.667,13.333,1468.0,6780,
S1-E08,S1,RESOLVED,3,3/3,True,True,True,17.667,13.333,1437.667,6787,
S1-E09,S1,RESOLVED,3,3/3,True,True,True,17.667,13.333,1420.333,6778,
S1-E10,S1,RESOLVED,3,3/3,True,True,True,17.667,13.333,1438.667,6787,
S1-E11,S1,RESOLVED,3,3/3,True,True,True,17.667,13.333,1443.667,6787,
S1-E12,S1,RESOLVED,3,3/3,True,True,True,17.667,13.333,1393.333,6778,
S1-E13,S1,RESOLVED,3,3/3,True,True,True,17.667,13.333,1439.333,6787,
S1-E14,S1,RESOLVED,3,3/3,True,True,True,17.667,13.333,1418.667,6787,
S1-E15,S1,RESOLVED,3,3/3,True,True,True,17.667,13.333,1400.0,6778,
S2-E01,S2,RESOLVED,3,3/3,True,True,True,21.0,15.0,1452.0,6582,
S2-E02,S2,RESOLVED,3,3/3,True,True,True,21.0,15.0,1432.0,6585,
S2-E03,S2,RESOLVED,3,3/3,True,True,True,21.0,15.0,1455.333,6585,
S2-E04,S2,ESCALATED,3,3/3,True,True,True,19.0,13.0,1389.0,6585,
S2-E05,S2,ESCALATED,3,3/3,True,True,True,19.0,13.0,1378.667,6585,
S2-E06,S2,ESCALATED,3,3/3,True,True,True,19.0,13.0,1432.667,6585,
S2-E07,S2,ESCALATED,3,3/3,True,True,True,19.0,13.0,1474.667,6585,
