scenario_id,family,expected_outcome,passed_runs,consistency,empty_passed,relevant_passed,misleading_passed,average_tool_calls,average_graph_steps,average_latency_ms,total_tokens,violation_codes
S1-E01,S1,RESOLVED,3,3/3,True,True,True,17.0,13.0,212.667,0,
S1-E02,S1,RESOLVED,3,3/3,True,True,True,17.0,13.0,244.0,0,
S1-E03,S1,RESOLVED,3,3/3,True,True,True,17.0,13.0,223.0,0,
S1-E04,S1,RESOLVED,3,3/3,True,True,True,17.0,13.0,219.333,0,
S1-E05,S1,RESOLVED,3,3/3,True,True,True,17.0,13.0,242.333,0,
S1-E06,S1,RESOLVED,3,3/3,True,True,True,17.0,13.0,217.667,0,
S1-E07,S1,RESOLVED,3,3/3,True,True,True,17.0,13.0,248.667,0,
S1-E08,S1,RESOLVED,3,3/3,True,True,True,17.0,13.0,211.667,0,
S1-E09,S1,RESOLVED,3,3/3,True,True,True,17.0,13.0,223.667,0,
S1-E10,S1,RESOLVED,3,3/3,True,True,True,17.0,13.0,243.667,0,
S1-E11,S1,RESOLVED,3,3/3,True,True,True,17.0,13.0,220.333,0,
S1-E12,S1,RESOLVED,3,3/3,True,True,True,17.0,13.0,247.0,0,
S1-E13,S1,RESOLVED,3,3/3,True,True,True,17.0,13.0,227.667,0,
S1-E14,S1,RESOLVED,3,3/3,True,True,True,17.0,13.0,226.667,0,
S1-E15,S1,RESOLVED,3,3/3,True,True,True,17.0,13.0,242.0,0,
S2-E01,S2,RESOLVED,3,3/3,True,True,True,21.0,15.0,237.333,0,
S2-E02,S2,RESOLVED,3,3/3,True,True,True,21.0,15.0,249.0,0,
S2-E03,S2,RESOLVED,3,3/3,True,True,True,21.0,15.0,226.333,0,
S2-E04,S2,ESCALATED,3,3/3,True,True,True,19.0,13.0,242.667,0,
S2-E05,S2,ESCALATED,3,3/3,True,True,True,19.0,13.0,206.667,0,
S2-E06,S2,ESCALATED,3,3/3,True,True,True,19.0,13.0,248.667,0,
S2-E07,S2,ESCALATED,3,3/3,True,True,True,19.0,13.0,218.667,0,
S2-E08,S2,ESCALATED,3,3/3,True,True,True,19.0,13.0,224.667,0,
